year,month,panel_code,panel_code_new,type_method,type_method_etc,type_channel_new,type_channel,type_channel_etc,shop_day,shop_week,store,store_code,store_region,product,product_code,wide,middle,detail,country,purchase,discount,quantity,q_unit,weight_quantity,w_q_unit,multi_quantity,m_unit,w_multi_quantity,w_multi_unit,w_q_kg,w_q_kg_unit,unit_cost,special_diary,bill,bundle,payment,retail,retail_8,retail_new,shop_time,take_out,transport_pre,transport_post,panel_type,edit,family_num_level,age1_group,income_v2
2022,6,PN00000470,A20000470,,,슈퍼마켓,슈퍼마켓,,2022-06-06,2,GS슈퍼GS슈퍼마켓의왕점,,,제스프리점보골드,P,과일류,참다래,골드키위,,9800.0,.,8,,.,,.,,.,,,,9,,1.0,,,,,,,,,,0.0,.,2,60,200~299만원
2017,9,PN00000974,A20000974,,,대형마트,대형마트,,2017-09-07,5,코스트코코리아양재점,,서울,자몽,,과일류,열대과일,자몽,,10990.0,.,1,박스,.,,.,,,,.,,,,,,,,1대형마트,대형마트,1,0,,,0.0,0,2,50,700만원 이상
2016,9,PN00001408,A20001408,,,전통시장,전통시장,,2016-09-14,4,전통시장,,경기,배,,과일류,배,기타배,,25000.0,.,1,박스,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,3,30,600~699만원
2021,8,PN20150485,A40150485,,,슈퍼마켓,슈퍼마켓,,2021-08-13,6,진로마트,S,경기,청포도,P,과일류,포도,청포도,,15960.0,.,2,박스,4,KG,.,,2,K,4,KG,7,,,,,,3슈퍼마켓,슈퍼마켓,1,0.0,,,15.0,0,4,60,600~699만원
2023,7,PN20210700,,직접방문,,외식업체,,,2023-07-16,1,쥬씨본오동점,,경기,홍시_M,PR1020_1147122,과일류,떫은감,홍시,,2500.0,,1.0,,,,,,,,,,,당도_100%1/얼음_100%1,유,,,,,,,,,,21.0,0,2,30,600~699만원
2023,4,PN20210402,,직접방문,,대형마트,대형마트,,2023-04-03,2,(주)코스트코코리아의정부점,,경기,델몬트바나나_수입산,PR2021_0005594,과일류,바나나,일반바나나,수입산,3090.0,,1.0,봉,1.13,KG,,,,,,,3090,,유,,,,,,,,,,21.0,0,3,30,300~399만원
2022,12,PN00000950,A20000950,,,전문점,전문점,,2022-12-19,2,우리생협OASIS,,서울,단감_중과,P,과일류,단감,단감,,4500.0,.,1,개,1050,G,5,입,.,,,,4,,,,,,,,,,,,0.0,.,3,60,500~599만원
2013,8,PN00000801,A20000801,,,슈퍼마켓,슈퍼마켓,,2013-08-24,7,대형슈퍼마켓,,서울,복숭아,,과일류,복숭아,일반복숭아,,32000.0,,1,박스,5,KG,.,,,,5,KG,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,3,50,600~699만원
2019,1,PN00000364,A20000364,,,슈퍼마켓,소형슈퍼마켓,,2019-01-10,5,없음,,없음,사과,,과일류,사과,기타사과,,10000.0,.,15,개,.,,.,,,,.,,,,,,,,8기타,기타,1,0,,,0.0,0,2,60,200만원 미만
2023,9,PN00000507,,모바일주문,,온라인몰,온라인몰,,2023-09-12,3,홈플러스주식회사_홈플러스고양터미널점,,없음,고당도스위트마운틴바나나_필리핀,PR2023_0061667,과일류,바나나,일반바나나,,3990.0,,1.0,,500.0,G,,,,,,,,,유,,,,,,,,,,0.0,0,3,40,700만원 이상
2011,8,PN00000130,A20000130,,,전통시장,전통시장,,2011-08-29,2,재래시장,,경기,아오리사과,,과일류,사과,아오리,,3000.0,,5,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,1,50,200만원 미만
2023,2,PN20210595,,직접방문,,편의점,편의점,,2023-02-05,1,CU건대입구역점,,서울,반값바나나_필리핀산,PR2021_0143752,과일류,바나나,일반바나나,,1470.0,630,1.0,봉지,720.0,G,5,개,,,,,,,유,,,,,,,,,,21.0,0,4,30,700만원 이상
2010,10,PN00000306,A20000306,,,슈퍼마켓,슈퍼마켓,,2010-10-14,5,소형슈퍼마켓,,경기,캠벨포도,,과일류,포도,캠벨얼리,,20000.0,.,1,상자,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,40,400~499만원
2014,7,PN00000485,A20000485,,,슈퍼마켓,기업형슈퍼마켓,,2014-07-19,7,하모니마트호매실점,,경기,바나나,,과일류,바나나,일반바나나,,2480.0,,1,봉,.,,10,입,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,3,40,400~499만원
2012,10,PN00000009,A20000009,,,슈퍼마켓,슈퍼마켓,,2012-10-20,7,수정유통L마트,,없음,귤,,과일류,감귤,밀감,,2000.0,,1,봉,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,,0,,,0.0,0,3,50,300~399만원
2020,6,PN00000631,A20000631,,,전통시장,전통시장,,2020-06-15,2,없음,,없음,씨없는포도_수입산_,,과일류,포도,기타포도,,5000.0,.,1,바구니,.,,.,,,,.,,,,,,,,8기타,기타,.,0,,,0.0,0,3,40,500~599만원
2011,10,PN00000161,A20000161,,,슈퍼마켓,슈퍼마켓,,2011-10-09,1,대형슈퍼마켓,,경기,부사,,과일류,사과,후지,,5800.0,,13,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,40,200만원 미만
2013,4,PN00001056,A20001056,,,전통시장,전통시장,,2013-04-26,6,재래시장,,서울,바나나,,과일류,바나나,일반바나나,,3500.0,,1,송이,.,,.,,,,.,,,,,,,,2전통시장,전통시장,,0,,,0.0,0,4,50,200만원 미만
2016,1,PN20150739,A40150739,,,전통시장,전통시장,,2016-01-15,6,전통시장,,서울,감귤_국내산_,,과일류,감귤,밀감,,3000.0,.,1,봉,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,15.0,0,2,60,400~499만원
2022,1,PN20210940,A40210940,,,온라인몰,온라인몰,,2022-01-07,6,SSG닷컴,,없음,사과국산,P,과일류,사과,기타사과,,9282.0,.,1,봉,.,,6,입,1,G,,,.,4,,,,,,,,,,,21.0,.,4,40,700만원 이상
2023,5,PN20210890,,모바일주문,,온라인몰,온라인몰,,2023-05-12,6,쿠팡,,없음,스미후루감숙왕바나나_필리핀,PR2022_0019338,과일류,바나나,일반바나나,,4720.0,,1.0,송이,1200.0,G,,,,,,,,,무,,,,,,,,,,21.0,0,4,30,700만원 이상
2018,9,PN00000158,A20000158,,,슈퍼마켓,슈퍼마켓,,2018-09-21,6,럭키식자재마트,,경기,홍노,,과일류,사과,홍로,,5800.0,.,1,,.,,5,개,,,.,,,,,.,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,3,40,400~499만원
2014,12,PN00000430,A20000430,,,전문점,전문점,,2014-12-02,3,한살림의왕내손매장,,경기,귤_무,,과일류,감귤,밀감,,12700.0,.,1,개,5,KG,.,,,,5,KG,,,,,,,5전문점,전문점,1,0,,,0.0,0,4,40,400~499만원
2019,11,PN20150463,A40150463,,,슈퍼마켓,슈퍼마켓,,2019-11-05,3,싱싱마트,,경기,사과_국내산_,,과일류,사과,기타사과,,3980.0,.,1,봉,.,,8,개,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,2,0,,,15.0,0,1,50,200만원 미만
2023,5,PN00000147,,직접방문,,전문점,전문점,,2023-05-31,4,경기두레생협옥길점,,경기,당도보장두레사과_부사_국내산,PR2023_0048821,과일류,사과,후지,국내산,10900.0,,1.0,봉,,,,,1.5,KG,,,11990,영수증금액맞음,유,,,,,,,,,,0.0,0,4,50,700만원 이상
2023,8,PN20210274,,직접방문,,슈퍼마켓,슈퍼마켓,,2023-08-31,5,우성할인마트,,경기,샤인마스켓_최경희_국산_김천,PR2023_0107566,과일류,포도,청포도,국내산,24800.0,,1.0,상자,,,3.0,수,2.0,KG,,,24800.0,,유,,,,,,,,,,21.0,0,4,40,500~599만원
2015,1,PN00000378,A20000378,,,기타,기타,,2015-01-25,1,기타,,없음,귤,,과일류,감귤,밀감,,6000.0,.,1,박스,5,KG,.,,,,5,KG,,,,,,,8기타,기타,.,0,,,0.0,0,4,40,400~499만원
