year,month,panel_code,panel_code_new,type_method,type_method_etc,type_channel_new,type_channel,type_channel_etc,shop_day,shop_week,store,store_code,store_region,product,product_code,wide,middle,detail,country,purchase,discount,quantity,q_unit,weight_quantity,w_q_unit,multi_quantity,m_unit,w_multi_quantity,w_multi_unit,w_q_kg,w_q_kg_unit,unit_cost,special_diary,bill,bundle,payment,retail,retail_8,retail_new,shop_time,take_out,transport_pre,transport_post,panel_type,edit,family_num_level,age1_group,income_v2
2021,4,PN00000398,A20000398,,,슈퍼마켓,슈퍼마켓,,2021-04-08,5,(주)마트킹안녕,S,경기,바나나,P,과일류,바나나,일반바나나,,6900.0,.,1,,2570,G,1,,2,G,3,KG,6.0,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,4,60,700만원 이상
2011,11,PN00000364,A20000364,,,슈퍼마켓,슈퍼마켓,,2011-11-13,1,대형슈퍼마켓,,경기,단감국내산_,,과일류,단감,단감,,4900.0,,1,개,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,50,400~499만원
2014,2,PN00000465,A20000465,,,무점포,무점포,,2014-02-19,4,노점,,없음,귤,,과일류,감귤,밀감,,5000.0,,1,봉,.,,.,,,,.,,,,,,,,6무점포,무점포,.,0,,,0.0,0,3,50,700만원 이상
2017,10,PN00000728,A20000728,,,슈퍼마켓,슈퍼마켓,,2017-10-13,6,프라임마트,,없음,바나나,,과일류,바나나,일반바나나,,2980.0,.,1,송이,1176,G,.,,,,1,KG,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,50,700만원 이상
2019,4,PN00000448,A20000448,,,슈퍼마켓,대형슈퍼마켓,,2019-04-18,5,우리홈마트(용인점),,경기,바나나,,과일류,바나나,일반바나나,,2980.0,.,1,송이,.,,.,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,2,60,400~499만원
2020,5,PN00000025,A20000025,,,슈퍼마켓,슈퍼마켓,,2020-05-12,3,홈마트,,서울,청과,,과일류,기타과일,기타과일,,9500.0,.,1,,5,KG,.,,,,5,KG,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,5,50,500~599만원
2023,10,PN00001269,,직접방문,,슈퍼마켓,슈퍼마켓,,2023-10-09,2,김포파주인삼농협하나로마트,,경기,샤인머스캣국산,PR2021_0011543,과일류,포도,청포도,국내산,5900.0,,1.0,,800.0,G,,,,,,,5900.0,,유,,,,,,,,,,0.0,0,4,40,400~499만원
2020,5,PN20150537,A40150537,,,대형마트,대형마트,,2020-05-18,2,홈플러스간석점,,인천,100%당도선별점보,,과일류,기타과일,기타과일,,16990.0,3,1,,.,,.,,,,.,,,0,,,,,1대형마트,대형마트,1,0,,,15.0,0,4,30,500~599만원
2015,3,PN00001097,A20001097,,,슈퍼마켓,기업형슈퍼마켓,,2015-03-07,7,롯데슈퍼한남가맹점,,서울,귤,,과일류,감귤,밀감,,2000.0,.,1,봉,.,,.,,,,.,,,,,,,,3슈퍼마켓,기업형슈퍼마켓,1,0,,,0.0,0,2,60,300~399만원
2011,1,PN00001071,A20001071,,,슈퍼마켓,슈퍼마켓,,2011-01-30,1,소형슈퍼마켓,,서울,과일,,과일류,기타과일,기타과일,,1000.0,,1,봉,.,,0,,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,.,0,,,0.0,0,4,40,200만원 미만
2016,4,PN00000734,A20000734,,,슈퍼마켓,슈퍼마켓,,2016-04-11,2,대형슈퍼마켓,,서울,신고배,,과일류,배,신고배,,5800.0,.,1,봉,.,,2,입,,,.,,,,,,,,3슈퍼마켓,슈퍼마켓,1,0,,,0.0,0,2,60,200만원 미만
2014,10,PN00000992,A20000992,,,무점포,무점포,,2014-10-29,4,노점,,없음,단감,,과일류,단감,단감,,5000.0,.,8,개,.,,.,,,,.,,,,,,,,6무점포,무점포,.,0,,,0.0,1,4,60,500~599만원
2013,12,PN00000584,A20000584,,,전통시장,전통시장,,2013-12-03,3,재래시장,,경기,귤,,과일류,감귤,밀감,,5000.0,,1,봉,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,5,30,300~399만원
2015,8,PN20150412,A40150412,,,전문점,전문점,,2015-08-28,6,전문점,,경기,사과,,과일류,사과,기타사과,,5000.0,.,6,개,.,,.,,,,.,,,,,,,,5전문점,전문점,9,0,,,15.0,0,1,50,200~299만원
2013,8,PN00000256,A20000256,,,대형마트,대형마트,,2013-08-02,6,이마트분당점,,경기,치키타슈퍼프리미엄바나나,,과일류,바나나,일반바나나,,4070.0,,1,송이,.,,.,,,,.,,,,,,,,1대형마트,대형마트,,0,,,0.0,0,3,40,400~499만원
2015,8,PN00000799,A20000799,,,전통시장,전통시장,,2015-08-07,6,재래시장,,서울,털복숭아_국내산_,,과일류,복숭아,백도,,5000.0,.,5,개,.,,.,,,,.,,,,,,,,2전통시장,전통시장,.,0,,,0.0,0,3,50,300~399만원
2018,8,PN00000116,A20000116,,,무점포,무점포,,2018-08-07,3,없음,,없음,포도,,과일류,포도,기타포도,,25000.0,.,1,박스,.,,.,,,,.,,,,,.,,,6무점포,무점포,.,0,,,0.0,0,4,40,400~499만원
2012,4,PN00001160,A20001160,,,대형마트,대형마트,,2012-04-13,6,롯데마트중계점,,서울,네이블오렌지,,과일류,오렌지,오렌지,,9720.0,,9,개,.,,.,,,,.,,,,,,,,1대형마트,대형마트,,0,,,0.0,0,3,30,200~299만원
2021,7,PN00000974,A20000974,,,대형마트,대형마트,,2021-07-12,2,(주)코스트코코리아양재점,S,서울,유기농바나나,P,과일류,바나나,일반바나나,,3990.0,.,1,,.,,.,,.,,.,,3,,,,,,1대형마트,대형마트,1,0.0,,,0.0,0,2,50,600~699만원
2017,11,PN00000346,A20000346,,,무점포,무점포,,2017-11-29,4,아파트내임시장,,경기,바나나,,과일류,바나나,일반바나나,,4000.0,.,2,송이,.,,.,,,,.,,,,,,,,6무점포,무점포,.,0,,,0.0,0,3,50,500~599만원
2022,3,PN20210006,A40210006,,,슈퍼마켓,슈퍼마켓,,2022-03-19,7,(주)한국애플원당지점,,경기,바나나_소_에콰도르산,P,과일류,바나나,일반바나나,,2500.0,.,1,송이,1391,G,7,개입,.,,,,2,,,,,,,,,,,,21.0,.,3,30,700만원 이상
2022,6,PN20150514,A40150514,,,전통시장,전통시장,,2022-06-05,1,모래내시장,,,씨없은작은포도_칠레,P,과일류,포도,기타포도,,5000.0,.,1,봉,900,G,2,송이,.,,,,5,,2.0,,,,,,,,,,15.0,.,1,40,200만원 미만
