year,month,type_channel_new,shop_day,shop_week,store,store_region,product,wide,middle,detail,purchase,discount,quantity,family_num_level,age1_group,income_v2,day
2010,1,슈퍼마켓,2010-01-19 00:00:00,화요일,하나로클럽고양점,경기,배친환경_,과일류,배,기타배,5900,,1,3인,40대,200만원 미만,19
2010,1,슈퍼마켓,2010-01-18 00:00:00,월요일,소형슈퍼마켓,경기,바나나필리핀,과일류,바나나,일반바나나,1500,,1,3인,40대,200만원 미만,18
2010,1,슈퍼마켓,2010-01-27 00:00:00,수요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,8000,,1,3인,40대,200만원 미만,27
2010,1,슈퍼마켓,2010-01-13 00:00:00,수요일,소형슈퍼마켓,경기,바나나필리핀,과일류,바나나,일반바나나,1130,,1,3인,40대,200만원 미만,13
2010,1,슈퍼마켓,2010-01-19 00:00:00,화요일,하나로클럽고양점,경기,노지감귤국내산_,과일류,감귤,밀감,9600,,2,3인,40대,200만원 미만,19
2010,1,슈퍼마켓,2010-01-08 00:00:00,금요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,5000,,1,3인,40대,200만원 미만,8
2010,1,슈퍼마켓,2010-01-19 00:00:00,화요일,하나로클럽고양점,경기,친환경사과,과일류,사과,기타사과,5900,,1,3인,40대,200만원 미만,19
2010,1,슈퍼마켓,2010-01-09 00:00:00,토요일,소형슈퍼마켓,경기,단감국내산_,과일류,단감,단감,1980,,1,3인,40대,200만원 미만,9
2010,1,대형마트,2010-01-24 00:00:00,일요일,이마트일산점,경기,밀감,과일류,감귤,밀감,7980,,1,3인,40대,300만원대,24
2010,1,슈퍼마켓,2010-01-02 00:00:00,토요일,소형슈퍼마켓,경기,레몬국내산_,과일류,레몬,레몬,2200,,1,3인,40대,300만원대,2
2010,1,슈퍼마켓,2010-01-09 00:00:00,토요일,홈플러스익스프레스마두점,경기,사과,과일류,사과,기타사과,6980,,2,4인,40대,400만원대,9
2010,1,슈퍼마켓,2010-01-17 00:00:00,일요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,9900,,1,4인,40대,400만원대,17
2010,1,슈퍼마켓,2010-01-15 00:00:00,금요일,홈플러스익스프레스마두점,경기,실속밀감,과일류,감귤,밀감,1990,,1,4인,40대,400만원대,15
2010,1,백화점,2010-01-23 00:00:00,토요일,그랜드백화점일산점,경기,부사,과일류,사과,후지,8940,,3,4인,40대,400만원대,23
2010,1,슈퍼마켓,2010-01-06 00:00:00,수요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,8900,,1,4인,40대,400만원대,6
2010,1,슈퍼마켓,2010-01-20 00:00:00,수요일,소형슈퍼마켓,경기,사과국내산_,과일류,사과,기타사과,3980,,1,4인,40대,400만원대,20
2010,1,슈퍼마켓,2010-01-16 00:00:00,토요일,소형슈퍼마켓,경기,신고배국내산_,과일류,배,신고배,4500,,3,4인,40대,400만원대,16
2010,1,슈퍼마켓,2010-01-30 00:00:00,토요일,소형슈퍼마켓,경기,단감,과일류,단감,단감,3000,,1,4인,40대,400만원대,30
2010,1,슈퍼마켓,2010-01-06 00:00:00,수요일,소형슈퍼마켓,경기,부사,과일류,사과,후지,4800,,1,4인,40대,400만원대,6
2010,1,백화점,2010-01-22 00:00:00,금요일,그랜드백화점일산점,경기,부사,과일류,사과,후지,8940,,3,4인,40대,400만원대,22
2010,1,슈퍼마켓,2010-01-02 00:00:00,토요일,소형슈퍼마켓,경기,사과국내산_,과일류,사과,기타사과,5960,,2,4인,40대,400만원대,2
2010,1,슈퍼마켓,2010-01-09 00:00:00,토요일,홈플러스익스프레스마두점,경기,사과,과일류,사과,기타사과,6980,,2,4인,40대,400만원대,9
2010,1,백화점,2010-01-07 00:00:00,목요일,그랜드백화점일산점,경기,바나나,과일류,바나나,일반바나나,1980,,1,4인,40대,400만원대,7
2010,1,슈퍼마켓,2010-01-01 00:00:00,금요일,소형슈퍼마켓,경기,사과국내산_,과일류,사과,기타사과,3500,,1,4인,40대,400만원대,1
2010,1,백화점,2010-01-26 00:00:00,화요일,그랜드백화점일산점,경기,부사,과일류,사과,후지,8940,,3,4인,40대,400만원대,26
2010,1,슈퍼마켓,2010-01-10 00:00:00,일요일,홈플러스익스프레스마두점,경기,고산지바나나,과일류,바나나,일반바나나,3490,,1,4인,40대,300만원대,10
2010,1,슈퍼마켓,2010-01-20 00:00:00,수요일,홈플러스익스프레스마두점,경기,단감대_,과일류,단감,단감,3790,,1,4인,40대,300만원대,20
2010,1,대형마트,2010-01-08 00:00:00,금요일,홈플러스일산점,경기,HMP알뜰사과,과일류,사과,기타사과,2600,,1,5인,40대,300만원대,8
2010,1,대형마트,2010-01-29 00:00:00,금요일,홈플러스일산점,경기,바나나,과일류,바나나,일반바나나,2130,,1,5인,40대,300만원대,29
2010,1,대형마트,2010-01-29 00:00:00,금요일,홈플러스일산점,경기,밀감,과일류,감귤,밀감,2390,,1,5인,40대,300만원대,29
2010,1,슈퍼마켓,2010-01-04 00:00:00,월요일,소형슈퍼마켓,경기,제주감귤,과일류,감귤,밀감,20000,,1,5인,40대,300만원대,4
2010,1,대형마트,2010-01-08 00:00:00,금요일,홈플러스일산점,경기,HMP바나나특_,과일류,바나나,일반바나나,2900,,1,5인,40대,300만원대,8
2010,1,슈퍼마켓,2010-01-04 00:00:00,월요일,소형슈퍼마켓,경기,단감,과일류,단감,단감,7000,,2,5인,40대,300만원대,4
2010,1,대형마트,2010-01-25 00:00:00,월요일,뉴코아일산점,경기,바나나,과일류,바나나,일반바나나,1980,,1,5인,40대,300만원대,25
2010,1,전통시장,2010-01-06 00:00:00,수요일,재래시장,경기,제주감귤,과일류,감귤,밀감,16000,,1,3인,50대,200만원 미만,6
2010,1,전통시장,2010-01-28 00:00:00,목요일,재래시장,경기,제주감귤,과일류,감귤,밀감,13000,,1,3인,50대,200만원 미만,28
2010,1,슈퍼마켓,2010-01-17 00:00:00,일요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,3000,,1,3인,50대,200만원대,17
2010,1,슈퍼마켓,2010-01-25 00:00:00,월요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,9000,,1,3인,50대,200만원대,25
2010,1,전통시장,2010-01-22 00:00:00,금요일,재래시장,경기,사과,과일류,사과,기타사과,3000,,1,2인,50대,200만원 미만,22
2010,1,슈퍼마켓,2010-01-16 00:00:00,토요일,소형슈퍼마켓,경기,바나나,과일류,바나나,일반바나나,4000,,2,2인,50대,200만원 미만,16
2010,1,슈퍼마켓,2010-01-20 00:00:00,수요일,소형슈퍼마켓,경기,사과,과일류,사과,기타사과,3960,,10,2인,50대,200만원 미만,20
2010,1,전통시장,2010-01-09 00:00:00,토요일,재래시장,경기,귤,과일류,감귤,밀감,9000,,1,2인,50대,200만원 미만,9
2010,1,슈퍼마켓,2010-01-28 00:00:00,목요일,소형슈퍼마켓,경기,조생귤,과일류,감귤,밀감,1500,,1,2인,50대,200만원 미만,28
2010,1,전통시장,2010-01-19 00:00:00,화요일,재래시장,경기,단감,과일류,단감,단감,1000,,4,2인,50대,200만원 미만,19
2010,1,슈퍼마켓,2010-01-16 00:00:00,토요일,소형슈퍼마켓,경기,신고배,과일류,배,신고배,2800,,3,2인,50대,200만원 미만,16
2010,1,전통시장,2010-01-22 00:00:00,금요일,재래시장,경기,감귤,과일류,감귤,밀감,3000,,1,2인,50대,200만원 미만,22
2010,1,전통시장,2010-01-09 00:00:00,토요일,재래시장,경기,사과,과일류,사과,기타사과,2500,,5,2인,50대,200만원 미만,9
2010,1,슈퍼마켓,2010-01-14 00:00:00,목요일,소형슈퍼마켓,경기,부사,과일류,사과,후지,6500,,10,2인,50대,200만원 미만,14
2010,1,슈퍼마켓,2010-01-28 00:00:00,목요일,소형슈퍼마켓,경기,부사,과일류,사과,후지,9800,,2,2인,50대,200만원 미만,28
2010,1,전통시장,2010-01-18 00:00:00,월요일,재래시장,경기,단감,과일류,단감,단감,1000,,4,2인,50대,200만원 미만,18
2010,1,전통시장,2010-01-04 00:00:00,월요일,재래시장,경기,귤,과일류,감귤,밀감,15000,,1,4인,50대,200만원대,4
2010,1,전통시장,2010-01-24 00:00:00,일요일,재래시장,경기,귤,과일류,감귤,밀감,5000,,1,4인,50대,200만원대,24
2010,1,전통시장,2010-01-05 00:00:00,화요일,재래시장,경기,바나나,과일류,바나나,일반바나나,3000,,2,4인,50대,200만원대,5
2010,1,전통시장,2010-01-19 00:00:00,화요일,재래시장,경기,사과,과일류,사과,기타사과,3000,,1,4인,50대,200만원대,19
2010,1,전통시장,2010-01-17 00:00:00,일요일,재래시장,경기,바나나,과일류,바나나,일반바나나,3000,,1,4인,50대,200만원대,17
2010,1,슈퍼마켓,2010-01-04 00:00:00,월요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,3000,,1,3인,50대,300만원대,4
2010,1,전통시장,2010-01-14 00:00:00,목요일,재래시장,경기,단감,과일류,단감,단감,3500,,1,3인,50대,300만원대,14
2010,1,슈퍼마켓,2010-01-04 00:00:00,월요일,소형슈퍼마켓,경기,꿀부사국내산_,과일류,사과,후지,4930,,1,3인,50대,300만원대,4
2010,1,슈퍼마켓,2010-01-18 00:00:00,월요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,15000,,1,3인,50대,300만원대,18
2010,1,슈퍼마켓,2010-01-25 00:00:00,월요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,18000,,1,3인,50대,300만원대,25
2010,1,전통시장,2010-01-09 00:00:00,토요일,재래시장,경기,사과,과일류,사과,기타사과,5000,,1,4인,40대,200만원 미만,9
2010,1,전통시장,2010-01-16 00:00:00,토요일,재래시장,경기,감,과일류,떫은감,일반떫은감,10000,,2,4인,40대,200만원 미만,16
2010,1,전통시장,2010-01-29 00:00:00,금요일,재래시장,경기,사과,과일류,사과,기타사과,5000,,1,4인,40대,200만원 미만,29
2010,1,전통시장,2010-01-16 00:00:00,토요일,재래시장,경기,사과,과일류,사과,기타사과,5000,,1,4인,40대,200만원 미만,16
2010,1,전통시장,2010-01-13 00:00:00,수요일,재래시장,경기,사과,과일류,사과,기타사과,5000,,1,4인,40대,200만원 미만,13
2010,1,전통시장,2010-01-30 00:00:00,토요일,재래시장,경기,귤,과일류,감귤,밀감,5000,,1,4인,40대,200만원 미만,30
2010,1,전통시장,2010-01-03 00:00:00,일요일,재래시장,경기,감,과일류,떫은감,일반떫은감,7000,,1,4인,40대,200만원 미만,3
2010,1,전통시장,2010-01-25 00:00:00,월요일,재래시장,경기,사과,과일류,사과,기타사과,5000,,1,4인,40대,200만원 미만,25
2010,1,전통시장,2010-01-14 00:00:00,목요일,재래시장,경기,귤,과일류,감귤,밀감,5000,,1,4인,40대,200만원 미만,14
2010,1,전통시장,2010-01-22 00:00:00,금요일,재래시장,경기,귤,과일류,감귤,밀감,6000,,1,4인,40대,200만원 미만,22
2010,1,전통시장,2010-01-11 00:00:00,월요일,재래시장,경기,귤,과일류,감귤,밀감,5000,,1,4인,40대,200만원 미만,11
2010,1,전통시장,2010-01-03 00:00:00,일요일,재래시장,경기,사과,과일류,사과,기타사과,5000,,1,4인,40대,200만원 미만,3
2010,1,전통시장,2010-01-30 00:00:00,토요일,재래시장,경기,귤,과일류,감귤,밀감,5000,,1,4인,40대,200만원대,30
2010,1,슈퍼마켓,2010-01-01 00:00:00,금요일,하나로클럽고양점,경기,대봉시,과일류,떫은감,대봉시,9500,,9,4인,40대,200만원대,1
2010,1,슈퍼마켓,2010-01-01 00:00:00,금요일,하나로클럽고양점,경기,단감,과일류,단감,단감,5200,,2,4인,40대,200만원대,1
2010,1,전통시장,2010-01-06 00:00:00,수요일,재래시장,경기,제주서귀포감귤,과일류,감귤,밀감,15000,,1,4인,40대,200만원대,6
2010,1,슈퍼마켓,2010-01-09 00:00:00,토요일,소형슈퍼마켓,경기,꿀부사국내산_,과일류,사과,후지,3950,,1,4인,40대,200만원대,9
2010,1,슈퍼마켓,2010-01-27 00:00:00,수요일,소형슈퍼마켓,경기,꿀부사국내산_,과일류,사과,후지,2980,,1,4인,40대,200만원대,27
2010,1,슈퍼마켓,2010-01-29 00:00:00,금요일,소형슈퍼마켓,경기,제주서귀포감귤,과일류,감귤,밀감,17000,,1,4인,40대,200만원대,29
2010,1,슈퍼마켓,2010-01-27 00:00:00,수요일,소형슈퍼마켓,경기,귤,과일류,감귤,밀감,2800,,1,4인,40대,200만원대,27
2010,1,전통시장,2010-01-06 00:00:00,수요일,재래시장,경기,사과,과일류,사과,기타사과,5000,,1,4인,40대,200만원대,6
2010,1,슈퍼마켓,2010-01-09 00:00:00,토요일,소형슈퍼마켓,경기,조생밀감,과일류,감귤,밀감,6000,,2,4인,40대,200만원대,9
2010,1,대형마트,2010-01-28 00:00:00,목요일,킴스클럽일산점,경기,조생귤,과일류,감귤,밀감,4990,,1,3인,40대,200만원 미만,28
